bpne,btar,btle,id3,ida,marg,njs,nws,opd,opn1,opnb,opnn,pnt1,pnt2,pnt3,pnt4,pnt5,sarg1,sarg2,sarg3,texp,trm
,,,"Police Training, Modernisation and Reforms",O0061,,The Hindu,,14/04/2023,"There were 478 custodial deaths reported in Tamil Nadu between 2016≠-17 and 2021≠-22 and no arrests, charge sheets or convictions in the period. Following the 1986 case of D.K. Basu vs West Bengal, the Supreme Court issued 11 guidelines to accompany Article 22(1). According to them, a Magistrate should ask the accused whether he has a medical problem, caused by the police. They generally don't ask and write 'no complaints', meaning the accused never said anything. In America, such a wrongful procedure leads to a mistrial. But, in India, when the police do something illegal, it does not vitiate the outcome of the trial. Even if they illegally enter your house and find contraband, they can charge sheet it. So when an illegality takes place, all that you may get is bail or compensation. Beyond that, we do not have a mechanism by which these officers can be taken to task. In the U.S., you can sue the police for civil damage, we can't do that here. There is no external check, it is through the mechanisms of the government you are trying to supervise them. The police also come up with new theories to get over the law. We don't have an institutional form of human rights organisation which can continuously fight. Secondly, there must be civilian supervision in police stations and if something happens they can visit. So monitoring should be legalised by civil society in some form.",#JUSTICE_K_CHANDRU,On the need for an external monitoring mechanism for police personnel,,,,,,,,,,
,,,"The Lokpal and Lokayuktas and other related law (Amendment) Bill, 2014",O0062,,The Hindu,,14/04/2023,"Lok Ayukta cannot investigate matters relating to the selection of candidates by political parties for contesting elections. selection of candidates was an internal affair of the political party and the party selected its candidates as per its constitution, political principles, policies, winnability, etc. Once the candidate is set up by the political party, then, on the date of the poll, the public exercise their electoral right for any of the candidates in the fray. Therefore, we are unable to subscribe to the view of the Lok Ayukta that the selection of a candidate by a political party is a matter in which the public or the community at large has an interest. ",#KERALA_HIGH_COURT,On public scrutiny of intra-party democracy,,,,,,,,,,
,,,Promotion of Education amongst the Weaker Sections of Minorities by Minority Educational Institutions with particular reference to Maulana Azad Education Foundation (MAEF),O0063,,The Hindu,,14/04/2023,"Karnataka government's March 27 order scrapping the 4% OBC quota for Muslims and dividing it between Vokkaliga and Lingayat communities in the State is based on 'absolutely fallacious assumptions'ù. For a very long period, Muslims have been treated as a 'more backward' community. They were sandwiched somewhere between the 'most backward' and 'backward' communities. The State had removed Muslims from the backward class list and included them under the Economically Weaker Sections (EWS) category without any empirical data collected or study done to support the move. The order was based on an 'interim'ù report from the Karnataka State Backward Classes Commission.",#COURTROOM_DEBATES,On inclusion of Muslims under Economically Weaker Sections,,,,,,,,,,
,,,Rain Water Harvesting in India,O0064,,The Business Standard,,14/04/2023,"Even deficient rainfall, if evenly distributed, can prove more rewarding than ill-distributed normal or above-normal rainfall. Actually, only a fraction of the total rainwater is utilised for agriculture and other purposes or is conserved in the surface and underground water aquifers. The bulk of it flows down wastefully to the seas, eroding the precious soil in its wake. For the economy, a normal monsoon is vital for several reasons. Nearly 52 per cent of the country's farmland relies wholly on rainfall for crop production, and agricultural income is a key determinant of rural demand for industrial goods and services. Robust growth in agriculture is imperative also to rein in food inflation, which had remained elevated for some time. It ruled at 5.95 per cent in February 2023 before softening to 4.79 per cent in March. Food prices account for over 40 per cent of the consumer price index. That apart, monsoon rainfall, which comprises over 70 per cent of the country's annual precipitation, is critical for refilling the reservoirs to meet the lean-season requirement of water for irrigation and hydropower production.",#EDITORIAL,On prediction of 'normal' monsoon and El Nino conditions,,,,,,,,,,
,,,Outbreak of Pandemic Covid-19 and its Management,O0065,,The Business Standard,,14/04/2023,"It is being argued that the surge suggests Covid is becoming endemic in India and that the number of cases will continue to rise rapidly before subsiding. Even if this were correct, health administrations need to stay on high alert. If Covid is here to stay, the government urgently needs to consider a permanent strategy rather than one-off diktats to deal with the virus. Given India's congested cities and the high proportion of diabetic and heart patients and undernourished people in the country, the population's vulnerability to the virus will always be high. Reinfections, even if not fatal, can progressively weaken the immune and respiratory systems. These imply undesirable public-health outcomes with implications for economic prospects. Also, as a large proportion of the population will likely lack the ability to pay for such tests, free or subsidised testing facilities could be made available at public-health centres for poorer patients.",#EDITORIAL,On normalising Covid response,,,,,,,,,,
,,,Review of cyber security scenario in India,O0066,,Business Line,,14/04/2023,"More than 20 lakh cybercrime complaints have been registered on cybercrime.gov.in. India, according to reports, ranks third in the world in cybercrimes. The issue, police officials admit, is that many of the cybercrimes are transnational and significantly, the criminals are taking advantage of the 'institutional inability' to steal data and commit other frauds. The Centre has the Indian Computer Emergency Response Team and the National Critical Information Infrastructure Protection Centre. Following the ransomware attack on AlIMS last year that paralysed it for six days, the National Counter Ransomware Task Force was set up. However, not many states are equipped enough. Telangana is an exception with its state-of-the-art integrated command control centre, where a new State Cyber Security Bureau is being set up. Besides, it also has a Centre of Excellence dedicated to strengthening cybersecurity. Nonetheless, the state saw over a 100% spike in cybercrimes from 2020 to 2021. The Telangana State Police has recently unearthed a cybercrime of such magnitude that it could only be termed the country's biggest ever.",#EDITORIAL,On building infrastructure to handle cybercrime cases,,,,,,,,,,
,,,Introduction of High Speed Trains,O0067,,The Tribune,,14/04/2023,"Railways had become an 'arena of politics' and its modernisation was affected by political considerations. The advancements and gains in this vital sector have been incrementalsuccessive dispensations have made their contribution over the decades. The Chennai-based Integral Coach Factory (ICF), Vande Bharat's designer and manufacturer, was inaugurated by the then Prime Minister Nehru in 1955. The Rail Coach Factory, Kapurthala, was established in 1985, while state-of-the-art coach manufacturing units have come up in Raebareli, Latur and Sonepat in the past decade and a half. It is laudable that the ICF is spearheading the export of rail coaches and coach components to several countries in Asia and Africa, including Thailand, Myanmar, Sri Lanka, Taiwan, Zambia, Tanzania and Uganda. The Chennai factory has also made air-conditioned new-generation rakes for Kolkata Metro.",#EDITORIAL,On politicisation of railways,,,,,,,,,,
,,,Solid Waste Management,O0068,,The Tribune,,14/04/2023,"The story common to Ludhiana, Muktsar and Chandigarh is that sewage treatment plants (STPs) set up for the benefit of these cities are either not functioning or are ineffective. Ludhiana is bearing the brunt of inadequately treated effluents of dye-making and electroplating industries seeping into the Buddha Nullah as the STPs have not been upgraded. Farmers' fields receive polluted irrigation water from the nullah; and since it empties into the Sutlej, the river is also polluted. Luckily, there is an Rs 840-crore rejuvenation project of the nullah going on since 2020. In contrast, Muktsar's condition is despairing. All three STPs installed in the town have been lying defunct for almost six years. Government efforts to repair them have been rebuffed nine times as tenders floated for the purpose drew no takers. The bane of Chandigarh is the absence of any STP in Nayagaon, a Mohali village on its periphery. It is linked to the 'Patiala ki Rao', a choe running through the city, having deteriorated into a 'ganda nullah' as untreated sewage and garbage from the surrounding villages are being dumped into it.",#EDITORIAL,On sewage treatment plants in Punjab,,,,,,,,,,
,,,"Prison Condition, Infrastructure and Reforms",O0069,,The Asian Age,,14/04/2023,"Legislatures pass special laws to empower the state to address certain situations where the existing common laws may be toothless. The National Security Act of 1980, was one such law that was brought in to keep preventive custody of persons who could act prejudicial to the defence of India, its relations with foreign powers, national security, public order or the maintenance of supplies and services essential to the community. Yet, NSA is not the first piece of legislation which governments invoke at their convenience to penalise people through the process of the law. The sedition law used to be a favourite tool of the government to drag its critics in court cases; it required a forceful intervention by the Supreme Court to stop the abuse of the British-era law. Two other special laws-the Unlawful Activities (Prevention) Act, 1967, and the Prevention of Money Laundering Act, 2002 which make it extremely tough for the courts to grant bail to an accused have also been used by the governments to lock people inside for long durations. 'Bail is the norm, jail is an exception'ùis the dictum that most democracies follow, and nothing stops India from following it.",#EDITORIAL,On misuse of acts for political vendetta,,,,,,,,,,
,,,Skill Development vis-√†-vis Manufacturing and Upgradation in Textiles Sector,S0020,,The Hindu,PM Mega Integrated Textile Regions and Apparel (PM MITRA) scheme aims to set up seven mega textile parks. ,14/04/2023,,,,"These mega parks will be of at least 1,000 acres. ","50% of the parks will be used for developing core infrastructure. There will be common facilities and special facilities such as testing, skills training and logistical arrangements. Commercial areas will be allowed in 10%. The master developer will conceptualise and prepare the plan for the development of the park comprising these elements. ",The first two parks will be established in Karnataka and Tamil Nadu. ,,,,,,,
