author,designation,interests
Ashok Gulati,"Faculty, Indian Council for Research on International Economic Relations",Agricultural Economics
Arvind Kumar Jha,Officer -Ex IFS officer and Principal Chief Conservator of Forests of Maharashtra,"Agroecology, Forest, Law, Wildlife Conservation"
P K Joshi,"Faculty, JNU","Applied Geospatial Science, Small Farmers, Disaster, Environment, Agriculture, Sustainability"
Raavi Birbal,"Advocate, Supreme Court of India","Arbitration, Consumer Rights, Insurance, Immigration, Cyber Crime, Intellectual Property"
Lokeshwarri S K,"Media Editor, The Hindu","Banking, Money & Capital Markets, Taxation, Liquidity, Interest Rates"
Janaki Nair,"Faculty -Ex, JNU",Bengaluru
Lisa Jarvis,"Columnist, Bloomberg Opinion","Biotech, Healthcare, Pharmaceuticals"
Harish Bijoor,Marketing Practioner; Brand Thinker,"Branding, Marketing, People Management"
Dilip Cherian,"Thinktank Founder& Director, Consulting Partner for Perfect Relations",Bureaucracy
Anuradha Goyal,Author and founder of IndiTales,Business Innovation
K Srinath Reddy,"Faculty (Public Health), PHFI; Author of book ""Pulse to the Planet""","Cardiology, Epidemiology, Medical Ethics, Health Policy"
Rishika Singh,"Media Editor, Indian Express","China, International Relations"
Anant Merathia,"Lawyer; Author of ""Defaulter's Paradise Lost: Demystifying the Insolvency and Bankruptcy Code, 2016""","Commercial Litigation, Disputes Resolution"
Rajeev Narayan,Media Journalist,Communication
Amar Patnaik,"Politician MP, Rajya Sabha (Odisha); Advocate; Former Comptroller and Auditor General of India; Bureaucrat; Biju Janata Dal","Company Law, Insolvency and Bankruptcy Code, Environment Law, Electricity Law, Privacy, Data Protection, Technology Law"
Sridhar Krishnaswami,"Media Journalist, based in Washington","Comparative Politics, Indian Diaspora"
Dhanendra Kumar,"Officer Ex- Chairman, Competition Commission of India","Competition Law, Regulatory Law, Policy"
Gautam Bhatia,Author of 'The Wall and the Horizon',"Constitutional Law, Ambedkarism"
Abhinav Pandey,"Research Scholar, Legal Intern at Chamber of Sr.Adv. Pradeep Rai","Constitutional Law, Criminal Law"
Arghya Sengupta,"Author of 'The Colonial Constitution', Research Director of Vidhi Centre for Legal Policy","Constitutional Law, Digital Economy Regulation, Administrative Law"
Abheek Singhi,"Managing Director, Boston Consulting Group","Consumerism, E-Commerce, Diaspora, Management"
P R Kumaraswamy,"Faculty, JNU",Contemporary Middle East
Shailesh Haribhakti,Independent Director on Corporate Boards,"Corporate Social Responsibility, Sustainability, ESG, Climate, Diversity"
Sushma Ramachandran,"Media Editor, The Tribune","Corporate, Business, World Trade, Economy"
K P Singh,"Officer -Ex DGP, Haryana","Correctional Administration, Human Rights"
Ram Madhav,"Politician, BJP; Member of National Executive, RSS","Culture, Politics"
Aditya Sinha,"Officer on Special Duty, Research, Economic Advisory Council to PM",Cybersecurity
Suraj Yengde,Author of 'Caste Matters',"Dalit, Ambedkarism"
Atanu Biswas,"Faculty, Indian Statistical Institute","Data Modelling, Statistical Analysis"
Manish Tewari,"Politician MP, Fomer I&B minister, INC","Defence, Foreign, Democracy, Parliament"
Abhijit Bhattacharyya,"Defence Analyst; Advocate, Supreme Court of India; Ex- Civil Servant, Alumnus of National Defence College of India; Life member- Aeronautical Society of India","Defence, Foreign, South Asia"
Maj Gen Ashok K Mehta,Military Commentator,"Defence, Security, South Asia"
Raghu Raman,"Officer -Ex CEO, National Intelligence Grid; ORF; Author of 'Everyman's War'","Defence, Strategy, Violence, Intelligence"
Shiv Visvanathan,"Faculty (Sociology), O P Jindal Global Law School","Democracy, Anthropology, Human Rights, Sociology of Science, Violence, Semiotics, Democracy, Alternative Imagination"
Anil Swarup,"Officer Ex- Secretary, School Education & Coal","Development, Education"
Arjun Sengupta,"Media Journalist, Indian Express","Development, World Affairs"
Harini Calamur,Faculty; Film-maker,"Digital Content, Technology, Audiences"
Uttam Chakraborty,"Faculty, Presidency University","Digital Marketing, Management"
Khushbu Jain,"Advocate, Supreme Court of India","Digital Regulation, Cyber Crime, Laws related to Privacy & Obscenity"
Siddharth Pai,"Senior Data Engineer, JPMorgan Chase","Digital, Technology"
Shubhajit Roy,Media Editor,Diplomacy
Mahir Ali,"Media Journalist, Dawn; Based in Australia",Diplomacy
Vivek Katju,"Officer -Ex Secretary, Ministry of External Affairs",Diplomacy
Shashi Tharoor,Politician MP in Lok Sabha; INC; International Civil Servant; Diplomat; Bureaucrat,"Diplomacy, Democracy, Postcolonialism, Federalism"
K C Singh,"Officer -Ex Secretary, Ministry of External Affairs","Diplomacy, Strategic Affairs"
T Ramakrishnan,"Media Editor, The Hindu","Dravidian Politics, Tamil Sub-Nationalism"
A S Mittal,"Officer Vice Chairman, State Economic Policy and Planning Board,  Punjab",Economic Development
V Anantha Nageswaran,Officer Chief Economic Advisor to GoI,"Economic Growth, Inclusion, Poverty"
Ashwini Deshpande,"Faculty (Economics) Ashoka University; Founding Director, Centre for Economic Data Analysis","Economics of Discrimination and Affirmative Action- Caste & Gender, Social Identity and Economic Outcomes, Labour Market Outcomes, Self Employment, Early Childhood Development, Education"
N Chandra Mohan,Media Delhi-based Commentator,"Economics, Business"
