serial no,title,link,author
01_03_2024_1,Work is worship?,https://drive.google.com/file/d/1VpVlTHwPt60-CFTWV0uKz7eRIqMsCpHQ/view?usp=drivesdk,"[""Krishna Hingale"", ""Moitrayee Das""]"
01_03_2024_2,Songs of Unity,https://drive.google.com/file/d/12WPqMPsOycgyACyUMzvZ9A3sWNSeN47B/view?usp=drivesdk,"[""Raju Mansukhani""]"
01_03_2024_3,JVP recast opens up Lankan politics,https://drive.google.com/file/d/1N0Qz6SWZIlQZGCfpVFdAJxd2PvlgTBqE/view?usp=drivesdk,"[""Smruti S Pattanaik""]"
01_03_2024_4,Empowering grassroots innovation for progress,https://drive.google.com/file/d/1sozIp-e-eNdv22u3jD4uLQm6wbiSuMoZ/view?usp=drivesdk,"[""Biju Dharmapalan""]"
01_03_2024_5,"New India: roti, kapda, makaan, vigyan and aatmasamman",https://drive.google.com/file/d/1CCCA689KWcOOlYwANet5_0_HObTONF4o/view?usp=drivesdk,"[""Anil Agrawal""]"
01_03_2024_6,Protests stress need for climate-smart agriculture,https://drive.google.com/file/d/1ak_qR3KDdFvOqG2DCgHksio6kOQyPQp0/view?usp=drivesdk,"[""Kota Sriraj""]"
01_03_2024_7,Cong's slide in Himachal sign of a deeper malaise,https://drive.google.com/file/d/1PMJr_U8Qc1YmF44SgchkBOtJsoY3IV18/view?usp=drivesdk,"[""Parsa Venkateshwar Rao Jr""]"
01_03_2024_8,India-EU trade mustn't stumble on digital sovereignty ,https://drive.google.com/file/d/1vMfnhPSPyljtNnUU58JQDDQrEKiTHDyT/view?usp=drivesdk,"[""Vivan Sharan""]"
01_03_2024_9,There's also a positive side of AI that can strengthen democracy,https://drive.google.com/file/d/191Xg8KbzSYHw43prLdYi5y8c9qIQmRK0/view?usp=drivesdk,"[""Jaspreet Bindra""]"
01_03_2024_10,Look for romance in the Reliance-Disney union,https://drive.google.com/file/d/1xVmqwEaJtj5zPUHtaoYKdghfRRmeqt6V/view?usp=drivesdk,"[""Anonymous""]"
01_03_2024_11,There's a lesson for India in the wars going on overseas,https://drive.google.com/file/d/1xwRgSTyxY_uDfWg3WS2XF1owBNvNYU47/view?usp=drivesdk,"[""Harsh V Pant""]"
01_03_2024_12,Google's Gemini shows we are guinea pigs for generative AI,https://drive.google.com/file/d/1JG5evF9hnZGphC35SrccJ3-XuKI6Ag4s/view?usp=drivesdk,"[""Parmy Olson""]"
01_03_2024_13,State-level rumbles in the Indian federation: Can the 16th FC help?,https://drive.google.com/file/d/1y5xoz-Xo85iCx_0r2M-ZrZl0r2pocObA/view?usp=drivesdk,"[""Indira Rajaraman""]"
01_03_2024_14,AIn't just a buzzword,https://drive.google.com/file/d/12ZHBxqTQvFrQ8pznDwMQXzOkhh-6oPij/view?usp=drivesdk,"[""Abhishek Singh"", ""Satwik Mishra""]"
01_03_2024_15,These polls are numbered,https://drive.google.com/file/d/16Uogm53VCNCGZaz74RlxkBV6VRGdbJGs/view?usp=drivesdk,"[""Mythili Bhusnurmath""]"
01_03_2024_16,Three things follow from GOI's latest GDP figures,https://drive.google.com/file/d/1IY3GylYNp_zumlBA5GzHTJamFknCUSL5/view?usp=drivesdk,"[""T K Arun""]"
